ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU1546			3.027835052	3.059375	1	2.300822562			3.122807018					
OTU15477			4.037113402		1	2.300822562		2.642375169						
OTU1548	11.79518072	2.935532234		3.059375		2.300822562	3.007680492	2.642375169	6.245614035			3.054602184	2.212429379	
OTU1550	3.931726908		2.018556701	24.475	2			2.642375169	6.245614035				4.424858757	
OTU1552			3.027835052	3.059375	3	4.601645123	6.015360983	13.21187584					2.212429379	
OTU156	3.931726908	5.871064468	1.009278351			2.300822562								
OTU1560	19.65863454	2.935532234	2.018556701		1								2.212429379	
OTU1561			1.009278351	3.059375		2.300822562		2.642375169						
OTU1569			1.009278351								3.701323251		2.212429379	3.625925926
OTU1582	3.931726908		7.064948454			2.300822562	3.007680492	5.284750337	15.61403509					
OTU1583		5.871064468	1.009278351		6			2.642375169	6.245614035					
OTU1585	3.931726908		2.018556701	3.059375	1									
OTU1586	3.931726908		1.009278351	6.11875	10		3.007680492	7.927125506	9.368421053		7.402646503		4.424858757	
OTU15877					1			2.642375169			3.701323251		2.212429379	
OTU159		2.935532234	1.009278351		1	2.300822562	15.03840246	5.284750337		63.31840796	133.2476371	6.109204368	37.61129944	3.625925926
OTU1594	11.79518072		2.018556701	3.059375		9.203290247	3.007680492	7.927125506	3.122807018					7.251851852
OTU1602	15.72690763	5.871064468	26.24123711		1	9.203290247	9.023041475	2.642375169	9.368421053			6.109204368	6.637288136	10.87777778
OTU1621					1				3.122807018		7.402646503	6.109204368	4.424858757	
OTU16234			1.009278351		1							3.054602184	2.212429379	
OTU1627	39.31726908			3.059375	3	2.300822562	9.023041475	39.63562753	6.245614035		3.701323251			
OTU163	7.863453815	2.935532234		3.059375	3	2.300822562					3.701323251	3.054602184	2.212429379	10.87777778
OTU16322		2.935532234	1.009278351	6.11875	1									
OTU16378	3.931726908	5.871064468				2.300822562	3.007680492		3.122807018					
OTU16379				3.059375				2.642375169	3.122807018				2.212429379	
OTU1643					3	4.601645123	3.007680492	2.642375169	9.368421053				2.212429379	18.12962963
OTU1646						2.300822562	3.007680492				7.402646503			3.625925926
OTU16485							3.007680492	2.642375169	3.122807018		3.701323251		2.212429379	
OTU1661		2.935532234	2.018556701	9.178125	2		3.007680492							
OTU167										24.35323383	44.41587902	12.21840874	8.849717514	10.87777778
OTU1676	3.931726908	2.935532234	4.037113402	3.059375		2.300822562			6.245614035				6.637288136	
OTU16761		2.935532234	1.009278351			2.300822562		2.642375169						
OTU16810		2.935532234	2.018556701	3.059375				5.284750337						
OTU1683			1.009278351		1	9.203290247			9.368421053					
OTU1684		2.935532234	1.009278351	3.059375	1								4.424858757	
OTU1685			1.009278351	6.11875	1		3.007680492	2.642375169						
OTU1686	3.931726908		2.018556701		3			5.284750337	6.245614035					
OTU1689			2.018556701		4					14.6119403	11.10396975	6.109204368	13.27457627	3.625925926
OTU1693			2.018556701		1		3.007680492	7.927125506	3.122807018					
OTU17		2.935532234			1	2.300822562	6.015360983			4.870646766		3.054602184	8.849717514	10.87777778
OTU17029			1.009278351	3.059375	6	4.601645123								
OTU17052			1.009278351	3.059375	1								2.212429379	
OTU1709	3.931726908	2.935532234			1	4.601645123	3.007680492		3.122807018			3.054602184		
OTU1713	3.931726908		2.018556701		1	9.203290247	3.007680492	2.642375169						
